키워드 수,하루 수집 횟수,월 실행 횟수,평균 크레딧/회,월 총 크레딧,Free(100),Basic(600),Basic+(1200 제안),Pro(3000),위험도,권장사항
1,1회,30,5,150,❌ 초과,✅ 안전,✅ 안전,✅ 안전,안전,모든 Tier 가능
3,1회,90,5,450,❌ 초과,✅ 안전(75%),✅ 안전,✅ 안전,안전,Basic 권장 설정
3,2회,180,5,900,❌ 초과,❌ 초과(150%),✅ 안전(75%),✅ 안전,⚠️ 주의,Basic은 20일 후 소진
3,3회,270,5,1350,❌ 초과,❌ 초과(225%),⚠️ 초과(113%),✅ 안전,⚠️⚠️ 위험,Basic+ 15일 후 소진
6,1회,180,5,900,❌ 초과,❌ 초과(150%),✅ 안전(75%),✅ 안전,안전,Basic+ 권장 설정
6,2회,360,5,1800,❌ 초과,❌ 초과(300%),❌ 초과(150%),✅ 안전(60%),⚠️⚠️ 위험,Basic+ 20일 후 소진
6,3회,540,5,2700,❌ 초과,❌ 초과(450%),❌ 초과(225%),✅ 안전(90%),⚠️⚠️⚠️ 매우위험,Pro도 거의 소진
10,1회,300,5,1500,❌ 초과,❌ 초과(250%),⚠️ 초과(125%),✅ 안전(50%),⚠️ 주의,Pro만 안전
10,2회,600,5,3000,❌ 초과,❌ 초과(500%),❌ 초과(250%),✅ 임계점(100%),⚠️⚠️⚠️ 매우위험,Pro 정확히 소진
15,1회,450,5,2250,❌ 초과,❌ 초과(375%),❌ 초과(188%),✅ 안전(75%),안전,Pro 권장 설정
15,2회,900,5,4500,❌ 초과,❌ 초과(750%),❌ 초과(375%),❌ 초과(150%),⚠️⚠️⚠️ 매우위험,Pro 20일 후 소진
15,3회,1350,5,6750,❌ 초과,❌ 초과(1125%),❌ 초과(563%),❌ 초과(225%),🔥 크레딧 폭탄,Custom Tier 필요
20,1회,600,5,3000,❌ 초과,❌ 초과(500%),❌ 초과(250%),✅ 임계점(100%),⚠️⚠️ 위험,Pro 정확히 소진
20,2회,1200,5,6000,❌ 초과,❌ 초과(1000%),❌ 초과(500%),❌ 초과(200%),🔥 크레딧 폭탄,Custom Tier 필요
20,3회,1800,5,9000,❌ 초과,❌ 초과(1500%),❌ 초과(750%),❌ 초과(300%),🔥🔥 크레딧 대폭탄,Custom Tier 필수
