정책 구분,항목,내용,비고
리셋 정책,리셋 기준,결제일 기준,예: 1월 15일 결제 → 매월 15일 00:00 리셋
리셋 정책,월 구독 크레딧 이월,이월 불가 (리셋 시 소멸),사용하지 않은 크레딧은 다음 달로 이월 안 됨
리셋 정책,수동 충전 크레딧 이월,이월 가능 (소진될 때까지 유지),수동 충전한 크레딧은 계속 사용 가능
리셋 정책,크레딧 사용 우선순위,1순위: 월 구독 크레딧 / 2순위: 수동 충전 크레딧,이월 안 되는 크레딧을 먼저 사용
리셋 정책,리셋 알림,3일 전 알림 발송,리셋 3일 전 미사용 크레딧 안내
부족 정책,크레딧 0일 때,모든 기능 사용 불가,특정 기능 우선순위 없음 (모든 기능 평등하게 차단)
부족 정책,자동수집,크레딧 0일 때 일시 중지,크레딧 충전 또는 리셋 시 자동 재개
부족 정책,기능 실행 전,모달로 예상 크레딧 소비 표시 (필수),사용자가 크레딧 소비를 미리 확인 가능
부족 정책,부족 시 모달,크레딧 부족 안내 + Tier 업그레이드/충전 유도,부족 크레딧 수 명확히 표시
부족 정책,자동수집 중지 알림,이메일/앱 알림 발송,중지된 키워드 목록 포함
충전 정책,수동 충전 단가,추후 결정 (TBD),가격 정책 미확정
충전 정책,수동 충전 이월,가능 (소진될 때까지 유지),유효기간 무제한
충전 정책,수동 충전 환불,추후 정책 결정 필요,환불 정책 미확정
