기능,예상 크레딧 계산,모달 표시 정보,크레딧 부족 시 메시지,추가 정보
플레이스 진단,고정 5cr,기능명 / 예상 크레딧 5 / 현재 잔액 / 실행 후 잔액,이 기능을 사용하기에 크레딧이 5 부족합니다,다음 리셋일 표시
순위조회,동적 (순위 기반 3-10cr),기능명 / 키워드명 / 예상 크레딧 3-10 / 현재 잔액 / 실행 후 잔액,이 기능을 사용하기에 크레딧이 X 부족합니다,순위에 따라 실제 차감 크레딧 다를 수 있음 안내
타겟키워드 추출,동적 (조합 수 기반 12-50cr),기능명 / 조합 수 / 예상 크레딧 / 현재 잔액 / 실행 후 잔액,이 기능을 사용하기에 크레딧이 X 부족합니다,조합 수 = 지역 × 상품 × 기타 표시
리뷰 분석,동적 (리뷰 수 기반),기능명 / 리뷰 수 / 예상 크레딧 / 현재 잔액 / 실행 후 잔액,이 기능을 사용하기에 크레딧이 X 부족합니다,예: 100개 리뷰 = 25 크레딧
AI 답글 생성,동적 (답글 수 × 1cr),기능명 / 답글 수 / 예상 크레딧 / 현재 잔액 / 실행 후 잔액,이 기능을 사용하기에 크레딧이 X 부족합니다,1개당 1 크레딧
AI 답글 게시,동적 (게시 수 × 2cr),기능명 / 게시 수 / 예상 크레딧 / 현재 잔액 / 실행 후 잔액,이 기능을 사용하기에 크레딧이 X 부족합니다,1개당 2 크레딧 (Selenium 사용)
경쟁매장 분석,동적 (경쟁사 수 기반 13-30cr),기능명 / 경쟁사 수 / 예상 크레딧 / 현재 잔액 / 실행 후 잔액,이 기능을 사용하기에 크레딧이 X 부족합니다,예: 10개 경쟁사 = 15 크레딧
업체소개글 생성,고정 5cr,기능명 / 예상 크레딧 5 / 현재 잔액 / 실행 후 잔액,이 기능을 사용하기에 크레딧이 5 부족합니다,OpenAI 사용
찾아오는길 생성,고정 3cr,기능명 / 예상 크레딧 3 / 현재 잔액 / 실행 후 잔액,이 기능을 사용하기에 크레딧이 3 부족합니다,OpenAI 사용
대표키워드 분석,고정 15cr,기능명 / 예상 크레딧 15 / 현재 잔액 / 실행 후 잔액,이 기능을 사용하기에 크레딧이 15 부족합니다,네이버 API 16회 호출
자동수집 설정,설정 시 월 예상 크레딧 표시,키워드 수 / 하루 수집 횟수 / 월 예상 크레딧 / 현재 월 크레딧 / 초과 여부,⚠️ 현재 설정으로 월 크레딧을 X 초과합니다!,권장 설정 제안 (예: 하루 1회로 변경)
