Tier,시나리오,기능,사용량,크레딧,총 크레딧,잔액,결론
Free,기본 사용자,플레이스 진단,5회,25,95,5,기본 기능 충분히 사용 가능. 자동수집/리뷰 분석은 사용 불가
Free,기본 사용자,순위조회(수동),10회(평균 순위 30위),50,,,
Free,기본 사용자,업체소개글 생성,2회,10,,,
Free,기본 사용자,AI 답글 생성,10개,10,,,
Basic,활발한 사용자,플레이스 진단,10회,50,473,27,AI 기능까지 충분히 활용 가능. 자동수집은 여전히 제한적
Basic,활발한 사용자,순위조회(수동),30회(평균 순위 50위),150,,,
Basic,활발한 사용자,타겟 키워드 추출,3회(평균 30개 조합),48,,,
Basic,활발한 사용자,리뷰 분석,5회(평균 30개 리뷰),55,,,
Basic,활발한 사용자,AI 답글 생성,50개,50,,,
Basic,활발한 사용자,AI 답글 게시,30개,60,,,
Basic,활발한 사용자,대표키워드 분석,2회,30,,,
Basic,활발한 사용자,경쟁매장 분석,2회(10개 경쟁사),30,,,
Pro,파워 유저,키워드 자동수집,5개 × 하루 1회 × 30일,750,1915,85,자동화 포함 모든 기능 활발히 사용 가능. 자동수집 설정 신중하게
Pro,파워 유저,순위조회(수동),50회,250,,,
Pro,파워 유저,리뷰 분석,10회(평균 100개 리뷰),250,,,
Pro,파워 유저,AI 답글 생성+게시,100개,300,,,
Pro,파워 유저,경쟁매장 분석,5회(15개 경쟁사),90,,,
Pro,파워 유저,타겟 키워드 추출,5회(50개 조합),100,,,
Pro,파워 유저,플레이스 진단,20회,100,,,
Pro,파워 유저,대표키워드 분석,5회,75,,,
Custom,대형 매장,키워드 자동수집,15개 × 하루 2회 × 30일,4500,6900,N/A,Pro Tier로는 부족. Custom Tier 또는 수동 충전 필요
Custom,대형 매장,리뷰 분석,20회(평균 200개 리뷰),900,,,
Custom,대형 매장,AI 답글 생성+게시,500개,1500,,,
